id,username,created_at,sentiment,body
107073070,SchlomoL1,2018-01-01 09:19:50 EST-0500,Bearish,$TSLA a beautiful car. But so was the Nissan parked next to me yesterday.  And my Hyundai. This is: Just A Car
107073086,wildcards,2018-01-01 09:20:18 EST-0500,,$TSLA Unlikely as the markets are close but agree with the sentiment.
107073480,morgan99,2018-01-01 09:32:50 EST-0500,,$TSLA When do the markets open?
107074344,KubaW92,2018-01-01 09:57:25 EST-0500,,$SPY $DIA $AAPL $GOOG $FNMA $IDXG $NLST $ATOS $TSLA $HMNY $HIMX $WEED.CA January effect coming? Who knows but Happy New Year!
107074514,bobky,2018-01-01 10:02:57 EST-0500,,$TSLA agreed
107074647,bobky,2018-01-01 10:06:39 EST-0500,,$TSLA I think people were selling Fang stocks and taking profit. They will start piling back in the new year
107074918,pd1target,2018-01-01 10:14:47 EST-0500,Bearish,$TSLA big fat ugly bubble. Heading to 250
107075224,Puart,2018-01-01 10:24:01 EST-0500,Bearish,"$TSLA Elon&#39;s resolution should be to stop losing money to the tune of b,b,b,b,b, billions!!"
107075668,joel35,2018-01-01 10:36:50 EST-0500,Bullish,"$TSLA Semi, Roadster, Model3 Aerodynamic design and Autonomous suit were done in part by SpaceX Engineers .. hence taking delivery priority"
107075772,ChartMill,2018-01-01 10:40:05 EST-0500,,"Looking at the yearly performance, $TSLA did better than 77% of all other stocks. We also observe that the gain ... https://www.chartmill.com/analyze.php?utm_source=stocktwits&amp;utm_medium=TA&amp;utm_content=TA&amp;utm_campaign=social_tracking#/TSLA?key=b3fb89e7-ce52-4df4-906a-b4ccaf80eec8"
107075850,muchlove,2018-01-01 10:42:26 EST-0500,Bullish,$TSLA  Tesla Model 3 Early Impressions – it’s as good as we hoped it would be https://electrek.co/2018/01/01/tesla-model-3-early-impressions/
107075854,joel35,2018-01-01 10:42:31 EST-0500,Bullish,"$TSLA after 1/31/18 there will be no more Free Supercharging for life on any Model S, X purchased ! The meter will start hence the profit"
107076433,illianamike,2018-01-01 10:55:27 EST-0500,Bearish,$TSLA global warming  Frozen America
107076577,uxtonyxu,2018-01-01 10:59:48 EST-0500,,$TSLA $SQ  none of my bids are going through.......
107080271,stealin_your_thunder,2018-01-01 12:27:58 EST-0500,Bullish,"$LTBR a $TSLA Semi article this morning.  Going to need safe, clean, efficient Nuclear Energy tech for EVs &amp; cryptos"
107080489,breakoutstock,2018-01-01 12:32:37 EST-0500,,Open an account today http://rebrand.ly/tastyoptions $aapl $spy $tsla $qqq $goog $amzn $fb $cmg $uvxy $ge $twtr
107081774,Stockmarketinvesting,2018-01-01 12:59:15 EST-0500,Bullish,$TSLA Will short sellers get squeezed? https://www.youtube.com/watch?v=fEnP6VrvrEo
107082409,Learnstocks101,2018-01-01 13:11:47 EST-0500,,$TSLA looks to be headed to the recent low of 300.00
107082578,OptionsPlayers,2018-01-01 13:14:51 EST-0500,,$AAPL $MSFT $DJIA $NFLX $NVDA $AMZN $DIS $WMT $FB $BTC.X $TSLA $TWTR $JNUG $QQQ
107083174,joel35,2018-01-01 13:27:32 EST-0500,Bullish,"$TSLA mighty be on the verge of a major SQUEEZE like 2013 when the company announced ramping production of ModelS 

https://seekingalpha.com/article/4134717-tesla-model-3-ramp-5000-10000"
107084702,topstockalerts,2018-01-01 13:56:15 EST-0500,,"Tesla $TSLA Likely to Meet or Exceed Q4 Delivery Guidance, Global Equities&#39; Chowdhry Says; Model 3 Ramping Nicely

https://www.streetinsider.com/dr/news.php?id=13637382"
107084910,timmy2,2018-01-01 14:00:34 EST-0500,Bearish,$TSLA much lower once it hits 300
107085014,timmy2,2018-01-01 14:02:47 EST-0500,Bearish,$TSLA so wise. So true.
107085066,Learnstocks101,2018-01-01 14:03:52 EST-0500,,@timmy2 $TSLA  287 would be my first target
107085559,proximer,2018-01-01 14:13:56 EST-0500,Bullish,$TSLA. Tesla Model 3 Early Impressions – it’s as good as we hoped it would be:  https://is.gd/FmijMu
107086062,JDMturk,2018-01-01 14:23:45 EST-0500,,Top Investment Bank Highly Bullish On $NVDA $TSLA $PANW - https://buff.ly/2lGbcpA
107086131,JDMturk,2018-01-01 14:24:57 EST-0500,,When Will Driverless Cars Be Available to the Public? https://buff.ly/2iLtqp0  $INTC $GOOG $TSLA $GM $DLPH $GOOGL
107087731,ChartMill,2018-01-01 14:57:05 EST-0500,,$TSLA: The Revenue has grown by 81.37% in the past year. This is a very strong growth! https://www.chartmill.com/analyze.php?utm_source=stocktwits&amp;utm_medium=FA&amp;utm_content=GROWTH&amp;utm_campaign=social_tracking#/TSLA?r=fa&amp;key=b3fb89e7-ce52-4df4-906a-b4ccaf80eec8
107089212,mcmuggets,2018-01-01 15:27:00 EST-0500,Bullish,$TSLA This was published first Dec 29th on FB&lt; but now its on youtube. Before quarter ended. Have fun shorts. https://youtu.be/Uv1qtnoHv5A
107089317,mcmuggets,2018-01-01 15:28:56 EST-0500,Bullish,$TSLA What whaaat? Cover now. https://electrek.co/2018/01/01/tesla-model-3-early-impressions/
107090241,Learnstocks101,2018-01-01 15:48:05 EST-0500,,Free video with setups for Jan 2 &quot;An Important Level To Watch&quot;  $AAPL $BA $BB $WMT $TSLA https://www.learnstocks101.com/stock-market-analysis/2018/01/important-level-watch
107091455,stockgamer,2018-01-01 16:13:03 EST-0500,Bearish,"$TSLA M3 owners post positive reviews of their $40k purchase. Shocker. Where are real reviews? Oh, right, $TSLA can&#39;t build more than 500/mo"
107091533,stockgamer,2018-01-01 16:14:32 EST-0500,Bearish,And $TSLA is out of cash. Who cares how awesome the car is if they can&#39;t manufacture profitability at scale? Cars are a hard biz
107091914,stockgamer,2018-01-01 16:22:22 EST-0500,Bearish,"Short thesis doesnt care how &quot;awesome&quot; $TSLA M3 is. It&#39;s: 
 - 1) A car company that cant produce cars 
 - ‎2) Capital intense &amp; out of money"
107092056,Allocation,2018-01-01 16:25:48 EST-0500,,$TSLA Elon&#39;s batteries.   https://m.aawsat.com/english/home/article/1129926/power-prices-go-negative-germany-positive-energy-users
107094172,aaplgreen,2018-01-01 17:13:25 EST-0500,,$TSLA post market Tuesday announcement for deliveries?
107095025,joel35,2018-01-01 17:32:30 EST-0500,Bullish,"$TSLA deliveries total will approach 30k level and possibly passing it ..a record S3X

that’s total of all lovely S3X..."
107095036,Puart,2018-01-01 17:32:57 EST-0500,Bearish,$TSLA little flag with averages starting to roll over near support. I think big downside is possible
107102257,Stockmarketinvesting,2018-01-01 19:04:54 EST-0500,Bullish,$TSLA https://www.youtube.com/watch?v=fEnP6VrvrEo
107102822,RLAsset,2018-01-01 19:13:57 EST-0500,Bearish,$TSLA what does a loaded Model 3 cost? $50k+ which is a lot more than initially quoted. Competition will also finally be a factor.
107102930,RLAsset,2018-01-01 19:16:04 EST-0500,Bearish,$TSLA Survival of EV credits I interpret as bearish for TSLA. Soon will be done with their allotment and be at a disadvantage to completion
107104116,nat2k5us,2018-01-01 19:36:36 EST-0500,,https://youtu.be/Dmi30TKFYVM   $AAPL $BIDU $TSLA $MU $SPY $ROKU $DIS $FCX $CAT $NFLX $CMG
107104199,ChartMill,2018-01-01 19:38:07 EST-0500,,"Although the technical rating is only medium, $TSLA does present a nice setup opportunity. We see reduced volat ... https://www.chartmill.com/analyze.php?utm_source=stocktwits&amp;utm_medium=TA&amp;utm_content=SETUP&amp;utm_campaign=social_tracking#/TSLA?key=b3fb89e7-ce52-4df4-906a-b4ccaf80eec8"
107105715,timmy2,2018-01-01 20:05:11 EST-0500,Bearish,"$TSLA pure garbage. If you invest in this, you are beyond stupid."
107106892,SIMPLELOGICGL,2018-01-01 20:22:43 EST-0500,Bullish,$TSLA selling to $AAPL ? Both can share and ride any thoughts?
107108526,10kto10m,2018-01-01 20:46:35 EST-0500,,$TSLA who else thinks this is going under $300 in January?
107108803,10kto10m,2018-01-01 20:50:46 EST-0500,,"Watchlist for January 2, 2018:  $JUNO $QD $AA $UVXY $NVDA $FCX $GCAP $LINU $SAEX $WATT $TSLA $FB $AAPL $SPY $NUGT $RIOT $XNET"
